strain	accession	date	region	country	division	city
J0014	KP759740	2014-09-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR10030	KT725257	2014-08-16	Subsaharan Africa	Liberia	Margibi	Margibi
77613_EMLK	KU296579	2015-01-05	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_004085	KR817091	2014-12-19	Subsaharan Africa	Guinea	Kissidougou	Kissidougou
567_EMLH	KU296427	2015-02-03	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
14782_EMLK	KU296639	2015-04-23	Subsaharan Africa	Sierra Leone	Kambia	Kambia
J0051	KP759633	2014-10-07	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_079914	KR817225	2014-06-10	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
CON-8811	CON-8811	2015-06-27	Subsaharan Africa	Guinea	Dubreka	Dubreka
DML14163	KT357858	2015-07-03	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
V20141397	KR653288	2014-09-28	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
KT5249	KU296601	2015-02-22	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0006	KP759630	2014-09-28	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
PL7689	KU296712	2015-06-06	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_076193	KR817143	2014-10-18	Subsaharan Africa	Guinea	Nzerekore	Nzerekore
PL1387	KU296434	2015-01-04	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR10031	KT725278	2014-08-16	Subsaharan Africa	Liberia	Margibi	Margibi
PL5428	KU296532	2015-03-27	Subsaharan Africa	Sierra Leone	Kambia	Kambia
REDC_GUI_2015_01323	REDC_GUI_2015_01323	2015-08-27	Subsaharan Africa	Guinea	Conakry	Conakry
J0114	KP759596	2014-10-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0027	KP759678	2014-10-02	Subsaharan Africa	Sierra Leone	Bombali	Bombali
J0094	KP759761	2014-10-27	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
V1686	KR534572	2014-10-24	Subsaharan Africa	Guinea	Coyah	Coyah
KG88	KG88	2015-06-19	Subsaharan Africa	Guinea	Boke	Boke
EM_004580	KR817105	2015-01-27	Subsaharan Africa	Guinea	Faranah	Faranah
PL7801	KU296327	2015-06-09	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
MK0388	KU296630	2014-12-22	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_079414	KR817185	2014-03-31	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
LIBR10253	KT725282	2014-09-16	Subsaharan Africa	Liberia	Margibi	Margibi
77558_EMLK	KU296733	2015-01-02	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G3825	KM233098	2014-06-16	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
LIBR0177	KT725279	2014-11-14	Subsaharan Africa	Liberia	Montserrado	Montserrado
V20140910	KR653269	2014-09-18	Subsaharan Africa	Sierra Leone	Kenema	Kenema
J0075	KP759743	2014-10-17	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
