id	PPX_accession	PPX_accession__url	INSDC_accession	INSDC_accession__url	strain	date	region	country	division	location	host	is_lab_host	date_submitted	sra_accession	authors	institution	dataUseTerms	dataUseTerms__url	restrictedUntil
PP_006X5RB	PP_006X5RB.1	https://pathoplexus.org/seq/PP_006X5RB.1	FJ217161.1	https://www.ncbi.nlm.nih.gov/nuccore/FJ217161.1	Uganda/PP_006X5RB.1/2007-11	2007-11-XX	Africa	Uganda			human		2008-11-21		Towner et al.	Centers for Disease Control and Prevention, Special Pathogens Branch	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X63M	PP_006X63M.1	https://pathoplexus.org/seq/PP_006X63M.1	KR063673.1	https://www.ncbi.nlm.nih.gov/nuccore/KR063673.1	Uganda/PP_006X63M.1/2007-10-01	2007-10-01	Africa	Uganda			human	True	2015-04-11		Das et al.	J. Craig Venter Institute	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X64K	PP_006X64K.1	https://pathoplexus.org/seq/PP_006X64K.1	KU182911.1	https://www.ncbi.nlm.nih.gov/nuccore/KU182911.1	Uganda/PP_006X64K.1/2007-11-14	2007-11-14	Africa	Uganda			human	True	2015-12-22		Das et al.	J. Craig Venter Institute	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X6EZ	PP_006X6EZ.1	https://pathoplexus.org/seq/PP_006X6EZ.1	MT680245.1	https://www.ncbi.nlm.nih.gov/nuccore/MT680245.1	Democratic_Republic_of_the_Congo/PP_006X6EZ.1/2012-08-20	2012-08-20	Africa	Democratic Republic of the Congo	Isiro				2020-08-18		Hulseberg et al.	United States Army Research Institute of Infectious Diseases, Genome Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X6FX	PP_006X6FX.1	https://pathoplexus.org/seq/PP_006X6FX.1	MT680246.1	https://www.ncbi.nlm.nih.gov/nuccore/MT680246.1	Democratic_Republic_of_the_Congo/PP_006X6FX.1/2012-09-21	2012-09-21	Africa	Democratic Republic of the Congo	Isiro				2020-08-18		Hulseberg et al.	United States Army Research Institute of Infectious Diseases, Genome Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X6GV	PP_006X6GV.1	https://pathoplexus.org/seq/PP_006X6GV.1	MT680247.1	https://www.ncbi.nlm.nih.gov/nuccore/MT680247.1	Democratic_Republic_of_the_Congo/PP_006X6GV.1/2012-09-21	2012-09-21	Africa	Democratic Republic of the Congo	Isiro				2020-08-18		Hulseberg et al.	United States Army Research Institute of Infectious Diseases, Genome Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X6HS	PP_006X6HS.1	https://pathoplexus.org/seq/PP_006X6HS.1	MT680248.1	https://www.ncbi.nlm.nih.gov/nuccore/MT680248.1	Democratic_Republic_of_the_Congo/PP_006X6HS.1/2012-08	2012-08-XX	Africa	Democratic Republic of the Congo	Isiro		African green monkey; grivet monkey; savanah monkey		2020-08-18		Hulseberg et al.	United States Army Research Institute of Infectious Diseases, Genome Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X6JQ	PP_006X6JQ.1	https://pathoplexus.org/seq/PP_006X6JQ.1	MT680249.1	https://www.ncbi.nlm.nih.gov/nuccore/MT680249.1	Democratic_Republic_of_the_Congo/PP_006X6JQ.1/2012-08	2012-08-XX	Africa	Democratic Republic of the Congo	Isiro		African green monkey; grivet monkey; savanah monkey		2020-08-18		Hulseberg et al.	United States Army Research Institute of Infectious Diseases, Genome Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X6KN	PP_006X6KN.1	https://pathoplexus.org/seq/PP_006X6KN.1	MT680250.1	https://www.ncbi.nlm.nih.gov/nuccore/MT680250.1	Democratic_Republic_of_the_Congo/PP_006X6KN.1/2012-08	2012-08-XX	Africa	Democratic Republic of the Congo	Isiro		African green monkey; grivet monkey; savanah monkey		2020-08-18		Hulseberg et al.	United States Army Research Institute of Infectious Diseases, Genome Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X6LL	PP_006X6LL.1	https://pathoplexus.org/seq/PP_006X6LL.1	MT680251.1	https://www.ncbi.nlm.nih.gov/nuccore/MT680251.1	Democratic_Republic_of_the_Congo/PP_006X6LL.1/2012-08	2012-08-XX	Africa	Democratic Republic of the Congo	Isiro		African green monkey; grivet monkey; savanah monkey		2020-08-18		Hulseberg et al.	United States Army Research Institute of Infectious Diseases, Genome Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X6MJ	PP_006X6MJ.1	https://pathoplexus.org/seq/PP_006X6MJ.1	MT680252.1	https://www.ncbi.nlm.nih.gov/nuccore/MT680252.1	Democratic_Republic_of_the_Congo/PP_006X6MJ.1/2012-08	2012-08-XX	Africa	Democratic Republic of the Congo	Isiro		African green monkey; grivet monkey; savanah monkey		2020-08-18		Hulseberg et al.	United States Army Research Institute of Infectious Diseases, Genome Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X6NG	PP_006X6NG.1	https://pathoplexus.org/seq/PP_006X6NG.1	MT680253.1	https://www.ncbi.nlm.nih.gov/nuccore/MT680253.1	Democratic_Republic_of_the_Congo/PP_006X6NG.1/2012-08	2012-08-XX	Africa	Democratic Republic of the Congo	Isiro		African green monkey; grivet monkey; savanah monkey		2020-08-18		Hulseberg et al.	United States Army Research Institute of Infectious Diseases, Genome Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X6PE	PP_006X6PE.1	https://pathoplexus.org/seq/PP_006X6PE.1	MT680254.1	https://www.ncbi.nlm.nih.gov/nuccore/MT680254.1	Democratic_Republic_of_the_Congo/PP_006X6PE.1/2012-08	2012-08-XX	Africa	Democratic Republic of the Congo	Isiro		African green monkey; grivet monkey; savanah monkey		2020-08-18		Hulseberg et al.	United States Army Research Institute of Infectious Diseases, Genome Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
PP_006X6QC	PP_006X6QC.1	https://pathoplexus.org/seq/PP_006X6QC.1	MT680255.1	https://www.ncbi.nlm.nih.gov/nuccore/MT680255.1	Democratic_Republic_of_the_Congo/PP_006X6QC.1/2012-08	2012-08-XX	Africa	Democratic Republic of the Congo	Isiro		African green monkey; grivet monkey; savanah monkey		2020-08-18		Hulseberg et al.	United States Army Research Institute of Infectious Diseases, Genome Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	
